Athropods,General Fish,Freshwater Fish,Marine Fish,Reptiles,Amphibians,Birds,Mammals,Pollen,Federally Listed,Invasive Species,Plants,Marine Fish 2,Marine Fish 3
,Rocket danio,,Melamphaes indicus,,,,,,,,,Longfin Sanddab,
,Rockfish,,Melamphaes laeviceps,,,,,,,,,Flagtail Wormfish,
,Rockling,,Melamphaes longivelis ,,,,,,,,,Creole Wrasse,
,Rockweed gunnel,,Melamphaes lugubris ,,,,,,,,,Arrow Goby,
,Rohu,,Melamphaes macrocephalus,,,,,,,,,Sharpnose Sculpin,
,Ronquil,,Melamphaes parvus ,,,,,,,,,Woolly Sculpin,
,Roosterfish,,Melamphaes simus ,,,,,,,,,Calico Sculpin,
,Ropefish,,Melamphaes sp.,,,,,,,,,Mosshead Sculpin,
,Rough scad,,Melamphaes spinifer,,,,,,,,,Bald Sculpin,
,Rough sculpin,,Melamphaes suborbitalis ,,,,,,,,,Atlanic Herring,
,Roughy,,Melanocetus eustalus,,,,,,,,,Pacific Herring,
,Round goby,,Melanocetus johnsoni ,,,,,,,,,Atlantic Sabertooth,
,Round herring,,Melanocetus murrayi ,,,,,,,,,Pacific Saury,
,Round stingray,,Melanogrammus aeglefinus ,,,,,,,,,Grey Conger,
,Round whitefish,,Melanolagus bericoides [Bathylagus bericoides] ,,,,,,,,,Conger Eel,
,Roundhead,,Melanostomias spp.,,,,,,,,,Manytooth Conger,
,Rudd,,Melichthys niger ,,,,,,,,,Salmon Smooth-head,
,Rudderfish,,Membras martinica ,,,,,,,,,Barred Grunt,
,Ruffe,,Menidia beryllina,,,,,,,,,Armed Grunt,
,Russian sturgeon,,Menidia beryllina ,,,,,,,,,Bulleye,
,Sábalo,,Menidia menidia ,,,,,,,,,Angel Blenny,
,Sabertooth,,Menticirrhus americanus ,,,,,,,,,Zebraface Blenny,
,Sabertooth fish,,Menticirrhus littoralis ,,,,,,,,,Spikefin Blenny,
,Saber-toothed blenny,,Menticirrhus nasus ,,,,,,,,,Spinycheek Soldierfish,
,Sablefish,,Menticirrhus panamensis ,,,,,,,,,Pompano Dolphinfish,
,Sacramento blackfish,,Menticirrhus saxatilis ,,,,,,,,,Dolphinfish,
,Sacramento splittail,,Menticirrhus undulatus ,,,,,,,,,Pacific Grenadier,
,Sailfin silverside,,Mentodus eubranchus [Pellisolus eubranchus],,,,,,,,,Loosescale Grenadier,
,Sailfish,,Merluccius albidus ,,,,,,,,,Abyssal Grenadier,
,Salamanderfish,,Merluccius angustimanus ,,,,,,,,,Filamented Rattail,
,Salmo salmo,,Merluccius bilinearis ,,,,,,,,,Ghostly Grenadier,
,Salmon,,Merluccius hernandezi ,,,,,,,,,Redlight Goby,
,Salmon shark,,Merluccius productus ,,,,,,,,,Whitenose Pipefish,
,salmonid,,Mesobius berryi ,,,,,,,,,Snubnose Pipefish,
,SALMONIDAE ,,Microdesmus carri ,,,,,,,,,Crested Pipefish,
,Sand dab,,Microdesmus dorsipunctatus ,,,,,,,,,Shortfin Pipefish,
,Sand diver,,Microdesmus lanceolatus ,,,,,,,,,Dwarf Pipefish,
,Sand eel,,Microdesmus longipinnis ,,,,,,,,,Deepwater Pipefish,
,Sand goby,,Microgadus tomcod ,,,,,,,,,Polar Sculpin,
,Sand knifefish,,Microgobius brevispinis ,,,,,,,,,Pallid Sculpin,
,Sand lance,,Microgobius cyclolepis ,,,,,,,,,Coastrange Sculpin,
,Sand shiner,,Microgobius gulosus ,,,,,,,,,Prickly Sculpin,
,Sand stargazer,,Microgobius tabogensis ,,,,,,,,,Lizard Triplefin,
,Sand tiger,,Microgobius thalassinus ,,,,,,,,,Triplewart Seadevil,
,Sand tilefish,,Microlepidium verecundum ,,,,,,,,,Bluelip Parrotfish,
,Sandbar shark,,Microlepidotus inornatus ,,,,,,,,,Deepwater Blenny,
,Sandbar Shark - Carchathinus plumbeus,,Microlophichthys microlophus ,,,,,,,,,Darter Goby,
,Sandburrower,,Microphis brachyurus lineatus ,,,,,,,,,Dash Goby,
,Sandfish,,Micropogonias ectenes ,,,,,,,,,Longtail Goby,
,Sandperch,,Micropogonias furnieri ,,,,,,,,,Black Fathead,
,Sandroller,,Micropogonias undulatus ,,,,,,,,,Cape Cigarfish,
,Sarcastic fringehead,,Microspathodon chrysurus ,,,,,,,,,Longfin Cigarfish,
,Sardine,,Microstoma microstoma ,,,,,,,,,Bigeye Cigarfish,
,Sargassum fish,,Microstoma sp. ,,,,,,,,,Spotted Flounder,
,Sauger,,Microstomus pacificus ,,,,,,,,,Panamic Flounder,
,Saury,,Mirorictus taningi ,,,,,,,,,Toothed Flounder,
,Saw shark,,Mixomyrophis pusillipinna ,,,,,,,,,Lumpfish,
,Sawfish,,Mola lanceolata ,,,,,,,,,Benttooth Bristlemouth,
,Sawtooth eel,,Mola mola ,,,,,,,,,Bristlemouth,
,Scabbard fish,,Monacanthus ciliatus ,,,,,,,,,Deep-water Bristlemouth,
,Scaly dragonfish,,Monacanthus tuckeri ,,,,,,,,,Garrick,
,Scat,,Monognathus ahlstromi ,,,,,,,,,Veiled Anglemouth,
,SCIAENIDAE ,,Monognathus rosenblatti,,,,,,,,,Tan Bristlemouth,
,Scissortail rasbora,,Monolene asaedai ,,,,,,,,,Slender Bristlemouth,
,Scomber scomber,,Monolene maculipinna ,,,,,,,,,Showy Bristlemouth,
,Scopthalmus scopthalmus,,Monolene sessilicauda ,,,,,,,,,Bobtail Eel,
,Scorpionfish,,Monopenchelys acuta ,,,,,,,,,Sand Seatrout,
,Sculpin,,Moringua edwardsi ,,,,,,,,,Spotted Seatrout,
,Scup,,Morone saxatilis ,,,,,,,,,Silver Seatrout,
,Sea bass,,Mugil cephalus ,,,,,,,,,Shortfin Corvina,
,Sea bream,,Mugil curema ,,,,,,,,,Weakfish,
,Sea catfish,,Mulloidichthys dentatus ,,,,,,,,,Striped Corvina,
,Sea chub,,Mulloidichthys martinicus ,,,,,,,,,Satinfin Shiner,
,Sea devil,,Mullus auratus ,,,,,,,,,Sheepshead Minnow,
,Sea dragon,,Muraena argus ,,,,,,,,,Beautyfin Flyingfish,
,Sea lamprey,,Muraena clepsydra ,,,,,,,,,Clearwing Flyingfish,
,Sea raven,,Muraena lentiginosa ,,,,,,,,,Giant Stargazer,
,Sea snail,,Mycteroperca acutirostris ,,,,,,,,,Panamic Stargazer,
,Sea toad,,Mycteroperca bonaci ,,,,,,,,,Flying Gurnard,
,Seahorse,,Mycteroperca interstitialis ,,,,,,,,,Notchtail Stargazer,
,Seamoth,,Mycteroperca jordani ,,,,,,,,,Fringed Stargazer,
,Searobin,,Mycteroperca microlepis ,,,,,,,,,Moonstruck Stargazer,
,Semotilus atromaculatus,,Mycteroperca phenax ,,,,,,,,,Whitesaddle Stargazer,
,Sergeant major,,Mycteroperca prionura ,,,,,,,,,Bottlelights,
,Sevan trout,,Mycteroperca rosacea ,,,,,,,,,Mackerel Scad,
,Shad,,Mycteroperca tigris ,,,,,,,,,Shortfin Scad,
,Shark,,Mycteroperca xenarcha ,,,,,,,,,Amberstripe Scad,
,Sharksucker,,Myctophum affine ,,,,,,,,,Round Scad,
,Sharpnose puffer,,Myctophum asperum ,,,,,,,,,Scads,
,Sheatfish,,Myctophum aurolaternatum ,,,,,,,,,Blackspot Wrasse,
,Sheepshead,,Myctophum brachygnathum ,,,,,,,,,Red Hogfish,
,Sheepshead minnow,,Myctophum lychnobium,,,,,,,,,Narrownecked Oceanic Eel,
,Shiner,,Myctophum nitidulum ,,,,,,,,,Leather Bass,
,Shortjaw cisco,,Myctophum obtusirostrum ,,,,,,,,,Marbled Grouper,
,Shortnose chimaera,,Myctophum selenops ,,,,,,,,,Whiptail Ribbonfish,
,shortnose cisco,,Myctophum spinosum ,,,,,,,,,Polka-dot Ribbonfish,
,shortnose gar,,Myctophum spp.,,,,,,,,,Foureye Rockskipper,
,Shortnose sucker,,Myoxocephalus octodecemspinosus ,,,,,,,,,Short-headed Lanternfish,
,Shovelnose sturgeon,,Myrichthys breviceps ,,,,,,,,,Spothead Lanternfish,
,Shrimpfish,,Myrichthys ocellatus ,,,,,,,,,Soft Lanternfish,
,Siamese fighting fish,,Myripristis jacobus ,,,,,,,,,Pacific Headlightfish,
,Sillago,,Myripristis leiognathos ,,,,,,,,,White-spotted Lanternfish,
,Silver carp,,Myrophis platyrhynchus ,,,,,,,,,California Headlightfish,
,silver chub,,Myrophis punctatus ,,,,,,,,,Irish Pompano,
,Silver dollar,,Myrophis vafer ,,,,,,,,,Peruvian Mojarra,
,Silver dory,,Myxodagnus opercularis opercularis ,,,,,,,,,Pelagic Porcupinefish,
,Silver hake,,"Nannobrachium ""no pectorals""",,,,,,,,,Balloonfish,
,Silver lamprey,,Nannobrachium atrum ,,,,,,,,,Porcupinefish,
,Silverside,,Nannobrachium cuprarium,,,,,,,,,Longfin Lanternfish,
,Silvertip tetra,,Nannobrachium idostigma,,,,,,,,,Diogenes Lanternfish,
,Sind danio,,Nannobrachium lineatum ,,,,,,,,,Orange-spotted Sand Perch,
,Sixgill ray,,"Nannobrachium Nigrum [Nannobrachium ""niger""] ",,,,,,,,,Bighead Sand Perch,
,Sixgill shark,,Nannobrachium regale [Nannobrachium regalis] ,,,,,,,,,Sand Perch,
,Skate,,Nannobrachium ritteri ,,,,,,,,,Highfin Sand Perch,
,Skilfish,,Nannobrachium sp.,,,,,,,,,Mexican Sand Perch,
,skipjack herring,,Nannobrachium spp.,,,,,,,,,Greater Sand Perch,
,Skipjack tuna,,Nansenia ahlstromi,,,,,,,,,Pacific Sand Perch,
,Sleeper,,Nansenia candida ,,,,,,,,,Bridled Sand Perch,
,Sleeper shark,,Nansenia crassa ,,,,,,,,,Squirrel Sand Perch,
,slender madtom,,Nansenia longicauda,,,,,,,,,Spottail Pinfish,
,Slender mola,,Nansenia pelagica,,,,,,,,,Spotted Dragonet,
,Slender snipe eel,,Narcetes stomias ,,,,,,,,,Pacific Portholefish,
,Slickhead,,Naucrates ductor ,,,,,,,,,Striped Escolar,
,Slimehead,,Nautichthys oculofasciatus ,,,,,,,,,Silver Spinyfin,
,Slimy mackerel,,Nealotus tripes ,,,,,,,,,Longsnout BlackSmelt,
,Slimy sculpin,,Nectoliparis pelagicus ,,,,,,,,,Brownsnout Spookfish,
,Slipmouth,,Nematistius pectoralis ,,,,,,,,,Lobed Dreamer,
,Smalleye squaretail,,Nemichthys curvirostris ,,,,,,,,,Dwarf Wrasse,
,Smallmouth bass,,Nemichthys larseni ,,,,,,,,,Pacific Fat Sleeper,
,smallmouth buffalo,,Nemichthys scolopaceus ,,,,,,,,,Fat Sleeper,
,Smalltooth sawfish,,Neobythites marginatus ,,,,,,,,,Fantail Pipefish,
,Smelt,,Neoceratias spinifer ,,,,,,,,,Shortbelly Eel,
,Smelt-whiting,,Neoclinus blanchardi ,,,,,,,,,Sharksucker,
,Smooth dogfish,,Neoclinus stephensae ,,,,,,,,,Whitefin Sharksucker,
,Snailfish,,Neoclinus uninotatus ,,,,,,,,,Starry Moray,
,Snake eel,,Neoconger mucronatus ,,,,,,,,,Palenose Moray,
,Snake mackerel,,Neoconger sp.,,,,,,,,,Chain Pearlfish,
,Snakehead,,Neoepinnula americana ,,,,,,,,,Nocturnal Pearlfish,
,Snapper,,Neonesthes capensis ,,,,,,,,,Spotted Spoon-nose Eel,
,Snipe eel,,Neoniphon marianus ,,,,,,,,,Snapper Eel,
,Snipefish,,Nesiarchus nasutus ,,,,,,,,,Midwater Scorpionfish,
,Snoek,,Nessorhamphus ingolfianus ,,,,,,,,,Reef-sand Blenny,
,Snook,,Nettastoma melanura ,,,,,,,,,Rainbow Runner,
,Snubnose eel,,Nettastoma syntresis,,,,,,,,,Blackbelly Snailfish,
,Snubnose parasitic eel,,Nettenchelys inion or exoria,,,,,,,,,Bluestreak Drum,
,Sockeye salmon,,Nettenchelys pygmaea ,,,,,,,,,Electric Lanternfish,
,Soldierfish,,Nettenchelys sp. D,,,,,,,,,Spotted Sleeper,
,Sole,,Nezumia convergens ,,,,,,,,,Spinychek Sleeper,
,Solea solea,,Nezumia liolepis ,,,,,,,,,Machete,
,South American darter,,Nezumia spp.,,,,,,,,,Ladyfish,
,South American lungfish,,Nezumia stelgidolepis ,,,,,,,,,Deepsea Sole,
,Southern Dolly Varden,,Nicholsina denticulata ,,,,,,,,,Gulf Signal Blenny,
,Southern flounder,,Nicholsina usta ,,,,,,,,,Bonnetmouth,
,Southern hake,,Nomeus gronovii ,,,,,,,,,Pacific Pearlfish,
,Southern sandfish,,Notacanthus chemnitzi,,,,,,,,,Finless Pearlfish,
,Southern smelt,,Notolychnus valdiviae ,,,,,,,,,Slenderjaw Moray,
,Spadefish,,Notoscopelus caudispinosus ,,,,,,,,,Fourbeard Rockling,
,Spaghetti eel,,Notoscopelus resplendens ,,,,,,,,,Silver Anchovy,
,Spanish mackerel,,Notoscopelus spp.,,,,,,,,,Northern Anchovy,
,Spearfish,,Notropis amoenus ,,,,,,,,,Speckledtail Flounder,
,Speckled trout,,Notropis bifrenatus ,,,,,,,,,Spiny Flounder,
,Spiderfish,,Noturus insignis ,,,,,,,,,Blackbanded Sunfish,
,Spikefish,,Novaculichthys taeniourus [Xyrichtys taeniourus] ,,,,,,,,,Bluespotted Sunfish,
,Spinachia spinachia,,Ocyurus chrysurus ,,,,,,,,,Banded Sunfish,
,Spinefoot,,Odontopyxis trispinosa ,,,,,,,,,Carmine Triplefin/Delicate Triplefin,
,Spiny basslet,,Odontostomops normalops ,,,,,,,,,Flag Triplefin,
,Spiny dogfish,,Ogcocephalus parvus ,,,,,,,,,Buffalo Sculpin,
,Spiny dwarf catfish,,Ogcocephalus vespertilio ,,,,,,,,,Bull Sculpin,
,Spiny eel,,Ogilbia cayorum ,,,,,,,,,Notchfin Blenny,
,Spinyfin,,Oligocottus maculosus ,,,,,,,,,Petrale Sole,
,Splitfin,,Oligocottus rimensis ,,,,,,,,,Rock Hind,
,Spookfish,,Oligocottus rubellio ,,,,,,,,,Spotted Cabrilla,
,Spoonhead sculpin,,Oligocottus snyderi ,,,,,,,,,Speckled Hind,
,spotfin siner,,Oligoplites altus ,,,,,,,,,Red Hind,
,Spottail Pinfish - Diplodus holbrooki,,Oligoplites refulgens ,,,,,,,,,Atlantic Goliath Grouper,
,Spottail shiner,,Oligoplites saurus ,,,,,,,,,Flag Cabrilla,
,Spotted climbing perch,,Oligoplites saurus inornatus ,,,,,,,,,Red Grouper,
,Spotted danio,,Omosudis lowii ,,,,,,,,,Nassau Grouper,
,spotted gar,,Oneirodes acanthias ,,,,,,,,,Masked Prickleback,
,spotted sucker,,Oneirodes basili,,,,,,,,,Emerald Sleeper,
,Sprat,,Oneirodes eschrichtii ,,,,,,,,,Threeline Prickleback,
,Sprattus sprattus,,Oneirodes spp.,,,,,,,,,Twoline Prickleback,
,Springfish,,Ophichthini sp. 1,,,,,,,,,Queen Snapper,
,Squarehead catfish,,Ophichthini sp. 2,,,,,,,,,Indifferent Eel,
,Squaretail,,Ophichthini sp. 3,,,,,,,,,Swamp Darter,
,Squawfish,,Ophichthini sp. 4,,,,,,,,,Maryland Darter,
,Squeaker,,Ophichthini sp. 5,,,,,,,,,Sawcheek Darter,
,Squirrelfish,,Ophichthini sp. 7,,,,,,,,,Glassy Darter,
,Staghorn sculpin,,Ophichthus cruentifer ,,,,,,,,,Fringed Flounder,
,Stargazer,,Ophichthus cylindroideus ,,,,,,,,,Smallmouth Flounder,
,Starry flounder,,Ophichthus gomesii ,,,,,,,,,Peruvian Flounder,
,Steelhead,,Ophichthus melanoporus ,,,,,,,,,Round Herring,
,Stickleback,,Ophichthus menezesi,,,,,,,,,Spotfin Mojarra,
,Stingfish,,Ophichthus ophis ,,,,,,,,,Pacific flagfin Mojarra,
,Stingray,,Ophichthus puncticeps ,,,,,,,,,Dark-spot Mojarra,
,Stonecat,,Ophichthus rex ,,,,,,,,,Silver Jenny,
,Stonefish,,Ophichthus triserialis ,,,,,,,,,Tidewater Goby,
,stoneroller,,Ophichthus zophochir ,,,,,,,,,Flying Halfbeak,
,Stoneroller minnow,,Ophidion antipholus ,,,,,,,,,Ribbon Halfbeak,
,Stream catfish,,Ophidion dromio ,,,,,,,,,Unicornfish,
,Striped bass,,Ophidion galeoides ,,,,,,,,,Tropical Pomfret,
,Striped burrfish,,Ophidion grayi ,,,,,,,,,Pelican Eel,
,Sturgeon,,Ophidion josephi ,,,,,,,,,Festive Ribbonfish,
,Sucker,,Ophidion marginatum ,,,,,,,,,Kawakawa,
,Suckermouth armored catfish,,Ophidion nocomis ,,,,,,,,,Little Tunny,
,Summer flounder,,Ophidion robinsi ,,,,,,,,,Black Skipjack,
,Sundaland noodlefish,,Ophidion scrippsae ,,,,,,,,,Balbo Sabertooth,
,Sunfish,,Ophidion selenops ,,,,,,,,,Indian Sabretooth,
,Surf sardine,,Ophidion sp.,,,,,,,,,Indian Sabertooth,
,Surfperch,,Ophioblennius macclurei ,,,,,,,,,Lyre Goby,
,Surgeonfish,,Ophioblennius steindachneri ,,,,,,,,,Sargassum Blenny,
,Swallower,,Ophiodon elongatus ,,,,,,,,,Barbel Flyingfish,
,Swamp-eel,,Opisthonema libertate ,,,,,,,,,Oceanic Two-wing Flyingfish,
,Swampfish,,Opisthonema medirastre ,,,,,,,,,Tropical Two-wing Flyingfish,
,Sweeper,,Opisthonema oglinum ,,,,,,,,,Dogface Witch-eel,
,sword,,Opistognathus punctatus,,,,,,,,,Reef Cornetfish,
,Swordfish,,Opistognathus rhomaleus,,,,,,,,,Deepwater Cornetfish,
,Swordtail,,Opistognathus sp. ,,,,,,,,,Red Cornetfish,
,Symphodus symphodus,,Opostomias mitsuii ,,,,,,,,,Bluespotted Cornetfish,
,Syngnathus syngnathus,,Opsanus beta ,,,,,,,,,Longbarb Dragonfish,
,Tadpole cod,,Opsanus tau ,,,,,,,,,Forcepsfish,
,Tadpole fish,,Orthonopias triacus ,,,,,,,,,Roughbar Frogfish,
,Tailor,,Orthopristis cantharinus ,,,,,,,,,Ocellated Frogfish,
,Taimen,,Orthopristis chalceus ,,,,,,,,,Singlespot Frogfish,
,Tang,,Orthopristis chrysoptera ,,,,,,,,,Marsh Killifish,
,Tapetail,,Orthopristis reddingi ,,,,,,,,,Mummichog,
,Tarpon,,Ostichthys trachypoma ,,,,,,,,,Spotfin Killifish,
,Tarwhine,,Ostracion meleagris ,,,,,,,,,Striped Killifish,
,Taurulus taurulus,,Otophidium indefatigabile ,,,,,,,,,California Killifish,
,Telescopefish,,Otophidium omostigma ,,,,,,,,,Beardless Codling,
,Temperate bass,,Oxycirrhites typus ,,,,,,,,,Atlantic Cod,
,Temperate ocean-bass,,Oxyjulis californica ,,,,,,,,,Snake Mackerel,
,Temperate perch,,Oxylebius pictus ,,,,,,,,,White Croaker,
,Tench,,Oxyporhamphus micropterus ,,,,,,,,,Big Roughy,
,Tenpounder,,Oxyporhamphus micropterus micropterus ,,,,,,,,,Gibberfish,
,Tenuis,,Oxyporhamphus micropterus similis ,,,,,,,,,Spotted Kelpfish,
,Tetra,,Pachystomias spp.,,,,,,,,,Striped Kelpfish,
,Thornfish,,Pagrus pagrus ,,,,,,,,,Crevice Kelpfish,
,Thorny catfish,,Pallasina barbata ,,,,,,,,,Gigantura,
,Threadfin,,Parablennius marmoreus ,,,,,,,,,Telescopefish,
,Threadfin bream,,Paracaristius maderensis [Caristius maderensis],,,,,,,,,Sandloving Stargazer,
,Thread-tail,,Paraclinus beebei ,,,,,,,,,Halfbanded Stargazer,
,Three spot gourami,,Paraclinus integripinnis ,,,,,,,,,Warteye Stargazer,
,Threespine stickleback,,Paraclinus magdalenae ,,,,,,,,,Longjaw Mudsucker,
,Three-spine stickleback,,Paraclinus marmoratus ,,,,,,,,,Opaleye,
,Three-spined stickleback,,Paraclinus sini ,,,,,,,,,Witch Flounder,
,Three-toothed puffer,,Paraclinus tanygnathus ,,,,,,,,,Rex Sole,
,Thresher shark,,Paraconger californiensis ,,,,,,,,,Golden Trevally,
,Tidewater goby,,Paraconger sp.,,,,,,,,,Goldspot Goby,
,Tiger barb,,Paradiplogrammus bairdi ,,,,,,,,,Hardtail Conger,
,Tiger shark,,Paralabrax auroguttatus ,,,,,,,,,Lined Clingfish,
,Tiger shovelnose catfish,,Paralabrax clathratus ,,,,,,,,,Northern Clingfish,
,Tigerperch,,Paralabrax maculatofasciatus ,,,,,,,,,Bearded Clingfish,
,Tilapia,,Paralabrax nebulifer ,,,,,,,,,California Clingfish,
,Tilefish,,Paralepis coregonoides ,,,,,,,,,Skilletfish,
,Titan triggerfish,,Paralichthys aestuarius ,,,,,,,,,Violet Goby,
,Toadfish,,Paralichthys albigutta ,,,,,,,,,Highfin Goby,
,Tommy ruff,,Paralichthys californicus ,,,,,,,,,Naked Goby,
,Tompot blenny,,Paralichthys dentatus ,,,,,,,,,Seaboard Goby,
,Tonguefish,,Paralichthys lethostigma ,,,,,,,,,Twoscale Goby,
,Tope,,Paralichthys oblongus ,,,,,,,,,Goby,
,Topminnow,,Paralichthys woolmani ,,,,,,,,,Code Goby,
,Torpedo,,Paraliparis albescens,,,,,,,,,Crescent Goby,
,Torrent catfish,,Paraliparis cephalus ,,,,,,,,,Linestop Lanternfish,
,Torrent fish,,Paraliparis dactylosus ,,,,,,,,,Slendertail Lanternfish,
,Trachinus trachinus,,Paraliparis deani ,,,,,,,,,Spanish Flag,
,Trahira,,Paraliparis latifrons ,,,,,,,,,Atlantic Fangjaw,
,Treefish,,Paraliparis megalopus,,,,,,,,,Irksome Eel,
,Trevally,,Paraliparis mento,,,,,,,,,Horsehair Eel,
,Triggerfish,,Paraliparis pectoralis,,,,,,,,,String Eel,
,Triplefin blenny,,Paraliparis rosaceus ,,,,,,,,,Rope Eel,
,Triplespine,,Paraliparis ulochir ,,,,,,,,,Peppered Garden Eel,
,Tripletail,,Paranthias colonus ,,,,,,,,,Yellowcheek Basslet,
,Tripod fish,,Paranthias furcifer ,,,,,,,,,Fairy Basslet,
,Trout,,Parasudis truculenta ,,,,,,,,,Blackcap Basslet,
,Trout cod,,Parataeniophorus gulosus,,,,,,,,,Reef-cave Brotula,
,Trout-perch,,Pareques acuminatus ,,,,,,,,,Purple Brotula,
,Trumpeter,,Pareques iwamotoi ,,,,,,,,,Gold Brotula,
,Trumpetfish,,Pareques umbrosus ,,,,,,,,,Zebra Moray,
,Trunkfish,,Pareques viola ,,,,,,,,,Panamic Green Moray,
,Tubeblenny,,Parexocoetus brachypterus ,,,,,,,,,Saddled Moray,
,Tube-eye,,Paricelinus hopliticus ,,,,,,,,,Finespotted Moray,
,tubenose goby,,Parophidion schmidti ,,,,,,,,,Spottail Moray,
,Tubeshoulder,,Parophrys vetulus ,,,,,,,,,Green Moray,
,Tube-snout,,Parvilux ingens ,,,,,,,,,Goldentail Moray,
,Tui chub,,Pempheris poeyi ,,,,,,,,,California Moray,
,Tuna,,Pempheris schomburgkii ,,,,,,,,,Spotted Moray,
,Turbot,,Penetopteryx nanus ,,,,,,,,,Moary,
,Two spotted goby,,Peprilus alepidotus or paru ,,,,,,,,,Masked Moray,
,Uaru,,Peprilus burti ,,,,,,,,,White-edged Moray,
,Unicorn fish,,Peprilus simillimus ,,,,,,,,,Purplemouth Moray,
,Upside-down catfish,,Peprilus snyderi ,,,,,,,,,Tomtate,
,Vanjaram,,Peprilus triacanthus ,,,,,,,,,Black Grunt,
,Velvet belly lanternshark,,Percina notogramma ,,,,,,,,,Californian Salema,
,Velvet catfish,,Percina peltata ,,,,,,,,,Caesar Grunt,
,Velvetfish,,Perissias taeniopterus ,,,,,,,,,Smallmouth Grunt,
,Vendace,,Peristedion gracile ,,,,,,,,,Cortez Grunt,
,Vermillion Snapper - Rhomboplites aurorubens,,Peristedion greyae ,,,,,,,,,French Grunt,
,Vimba,,Peristedion longispatha,,,,,,,,,Spanish Grunt,
,Viperfish,,Peristedion miniatum ,,,,,,,,,Spottail Grunt,
,Wahoo,,Peristedion thompsoni ,,,,,,,,,Cottonwick,
,Walking catfish,,Peristedion truncatum ,,,,,,,,,Sailor's Choice,
,Wallago,,Phaenomonas longissima ,,,,,,,,,White Grunt,
,Walleye,,Phaeoptyx conklini ,,,,,,,,,Bluestriped Grunt,
,Walleye pollock,,Phaeoptyx pigmentaria ,,,,,,,,,Mojarra Grunt,
,Walu,,Phaeoptyx xenus ,,,,,,,,,Graybar Grunt,
,Warmouth,,Pholis clemensi ,,,,,,,,,Striped Grunt,
,Warty angler,,Pholis laeta ,,,,,,,,,Boga,
,Waryfish,,Pholis ornata ,,,,,,,,,Slender Codling,
,Waspfish,,Pholis schultzi ,,,,,,,,,Banded Pipefish,
,Weasel shark,,Photonectes spp.,,,,,,,,,Slippery Dick,
,Weatherfish,,Photostylus pycnopterus ,,,,,,,,,Chameleon Wrasse,
,Weever,,Phtheirichthys lineatus ,,,,,,,,,Yellowhead Wrasse,
,Weeverfish,,Phycis chesteri ,,,,,,,,,Clown Wrasse,
,Wels catfish,,Phyllorhinichthys micractis,,,,,,,,,Spinster Wrasse,
,Western sand darter,,Physiculus fulvus ,,,,,,,,,Banded Wrasse,
,Western tubenose goby,,Physiculus nematopus ,,,,,,,,,Rainbow Wrasse,
,Whale catfish,,Physiculus rastrelliger ,,,,,,,,,Blackear Wrasse,
,Whale shark,,Phytichthys chirus ,,,,,,,,,Puddingwife,
,Whalefish,,Plagiogrammus hopkinsii ,,,,,,,,,Rock Wrasse,
,Whiff,,Plagiotremus azalea ,,,,,,,,,Pancake Batfish,
,White bass,,Platichthys stellatus ,,,,,,,,,Scaled Sardine,
,white crappie,,Platybelone argalus ,,,,,,,,,Flatiron Herring,
,White croaker,,Plectobranchus evides ,,,,,,,,,Blackbelly Rosefish,
,White Grunt - Haemulon plumieri,,Plectranthias garrupellus ,,,,,,,,,Longtail Bass,
,White marlin,,Plectrypops retrospinis ,,,,,,,,,Splittail Bass,
,White perch,,Pleurogrammus monopterygius ,,,,,,,,,Hookthroat Bass,
,White shark,,Pleuronichthys coenosus ,,,,,,,,,Bluntnose Jack,
,White sucker,,Pleuronichthys decurrens ,,,,,,,,,Yellowfin Jack,
,Whitebait,,Pleuronichthys ritteri ,,,,,,,,,Blackfin Jack,
,Whitefish,,Pleuronichthys verticalis ,,,,,,,,,Red Irish Lord,
,Whitetip reef shark,,Podothecus accipenserinus [Podothecus acipenserinus] ,,,,,,,,,Brown Irish Lord,
,Whiting,,Pogonias cromis ,,,,,,,,,Balao,
,Wobbegong,,Pollachius virens ,,,,,,,,,Bermuda Halfbeak,
,Wolf-eel,,Pollichthys mauli ,,,,,,,,,Ballyhoo,
,Wolffish,,Polyacanthonotus challengeri,,,,,,,,,Longfin Halfbeak,
,Wolf-herring,,Polydactylus approximans ,,,,,,,,,Sea Raven,
,Worm eel,,Polydactylus octonemus ,,,,,,,,,Zebraperch,
,Wormfish,,Polydactylus opercularis ,,,,,,,,,Banded Stargazer,
,Wrasse,,Polydactylus virginicus ,,,,,,,,,Cape Garden Eel,
,Wrymouth,,Polyipnus spp.,,,,,,,,,Cortez Garden Eel,
,X-ray fish,,Polylepion cruentum ,,,,,,,,,Brown Garden Eel,
,Yellow bass,,Polymixia lowei ,,,,,,,,,Yellow Garden Eel,
,Yellow bullhead,,Polyprion americanus ,,,,,,,,,Glasseye Snapper,
,Yellow jack,,Pomacanthus arcuatus ,,,,,,,,,Giant Kelpfish,
,Yellow moray,,Pomacanthus paru ,,,,,,,,,Kelp Greenling,
,Yellow perch,,Pomadasys crocro ,,,,,,,,,Rock Greenling,
,Yellow tang,,Pomatomus saltatrix ,,,,,,,,,Atlantic Footballfish,
,Yellow weaver,,Pontinus castor ,,,,,,,,,Lined Seahorse,
